1.592486000534700000e+15 4.938462325371799722e+01 1.076305434108000059e+00 5.622378540039100159e+01 3.337069600800000174e-02 6.143558769999999877e-03 5.382944345469999892e-01
1.592486000579700000e+15 4.938462325371799722e+01 1.076305434108000059e+00 5.622886276245100134e+01 3.337069600800000174e-02 6.213372108000000428e-03 5.382944345469999892e-01
1.592486000619700000e+15 4.938462325371799722e+01 1.076305434108000059e+00 5.622878265380899876e+01 3.337069600800000174e-02 6.143558769999999877e-03 5.382944345469999892e-01
1.592486000659700000e+15 4.938462325371799722e+01 1.076305434108000059e+00 5.622885513305700300e+01 3.338814899300000111e-02 6.161012220999999983e-03 5.382944345469999892e-01
1.592486000704700000e+15 4.938462325371799722e+01 1.076305434108000059e+00 5.622887420654299717e+01 3.340560197800000047e-02 6.178465672000000089e-03 5.382944345469999892e-01
1.592486000744700000e+15 4.938462325371799722e+01 1.076305434108000059e+00 5.622888565063500010e+01 3.340560197800000047e-02 6.143558769999999877e-03 5.382944345469999892e-01
1.592486000789700000e+15 4.938462325371799722e+01 1.076305434108000059e+00 5.622894287109399869e+01 3.340560197800000047e-02 6.195918657000000322e-03 5.382944345469999892e-01
1.592486000829700000e+15 4.938462325371799722e+01 1.076305434108000059e+00 5.622891998290999993e+01 3.340560197800000047e-02 6.143558769999999877e-03 5.382944345469999892e-01
1.592486000869700000e+15 4.938462325371799722e+01 1.076305434108000059e+00 5.622898483276399872e+01 3.340560197800000047e-02 6.195918657000000322e-03 5.382944345469999892e-01
1.592486000914700000e+15 4.938462325371799722e+01 1.076305434108000059e+00 5.622896957397500017e+01 3.340560197800000047e-02 6.143558769999999877e-03 5.383118987080000029e-01
1.592486000954750000e+15 4.938462325371799722e+01 1.076305434108000059e+00 5.622896194457999997e+01 3.338814899300000111e-02 6.161012220999999983e-03 5.382944345469999892e-01
1.592486000999750000e+15 4.938462325371799722e+01 1.076305434108000059e+00 5.622899627685499979e+01 3.337069600800000174e-02 6.143558769999999877e-03 5.382944345469999892e-01
